iter	Passed	Remaining
243	826	2561
244	829	2554
245	831	2548
246	834	2543
247	837	2538
248	839	2532
249	842	2528
250	845	2522
251	847	2516
252	850	2511
253	853	2505
254	855	2499
255	858	2495
256	861	2489
257	863	2484
258	866	2478
259	868	2472
260	871	2466
261	873	2461
262	876	2456
263	879	2451
264	882	2446
265	884	2441
266	887	2436
267	890	2432
268	893	2427
269	896	2422
270	898	2417
271	901	2411
272	904	2407
273	906	2402
274	909	2397
275	912	2393
276	915	2390
277	919	2386
278	922	2382
279	924	2378
280	928	2374
281	930	2370
282	934	2366
283	937	2362
284	940	2358
285	943	2354
286	945	2350
287	948	2346
288	951	2341
289	954	2337
290	957	2333
291	960	2329
292	963	2325
293	966	2321
294	969	2318
295	973	2314
296	976	2310
297	979	2307
298	982	2303
299	986	2302
300	990	2299
301	994	2299
302	997	2294
303	1000	2290
304	1004	2288
305	1006	2283
306	1009	2279
307	1012	2275
308	1015	2270
309	1019	2268
310	1022	2265
311	1025	2261
312	1028	2256
313	1031	2252
314	1034	2249
315	1037	2246
316	1041	2244
317	1044	2241
318	1048	2238
319	1052	2237
320	1056	2233
321	1059	2229
322	1062	2226
323	1065	2223
324	1068	2218
325	1071	2214
326	1074	2211
327	1077	2207
328	1080	2204
329	1084	2200
330	1086	2196
331	1089	2192
332	1092	2188
333	1095	2184
334	1098	2180
335	1101	2177
336	1104	2172
337	1106	2167
338	1109	2163
339	1112	2159
340	1115	2155
341	1118	2151
342	1120	2146
343	1123	2142
344	1125	2137
345	1128	2133
346	1131	2130
347	1134	2125
348	1137	2121
349	1139	2117
350	1142	2112
351	1145	2108
352	1148	2104
353	1150	2099
354	1153	2095
355	1156	2091
356	1158	2087
357	1162	2083
358	1165	2080
359	1167	2075
360	1170	2071
361	1172	2066
362	1175	2062
363	1178	2059
364	1181	2055
365	1183	2050
366	1186	2046
367	1189	2042
368	1192	2038
369	1194	2034
370	1197	2030
371	1200	2025
372	1202	2021
373	1205	2017
374	1208	2013
375	1210	2009
376	1213	2004
377	1215	2000
378	1218	1996
379	1220	1991
380	1224	1988
381	1227	1986
382	1231	1983
383	1234	1980
384	1237	1977
385	1241	1974
386	1243	1970
387	1246	1965
388	1248	1961
389	1251	1957
390	1254	1953
391	1257	1949
392	1259	1945
393	1262	1941
394	1264	1936
395	1267	1932
396	1269	1928
397	1272	1924
398	1275	1920
399	1277	1916
400	1280	1912
401	1282	1907
402	1285	1903
403	1288	1901
404	1291	1896
405	1293	1892
406	1296	1888
407	1298	1884
408	1301	1880
409	1304	1876
410	1306	1872
411	1309	1868
412	1311	1864
413	1314	1860
414	1316	1855
415	1319	1852
416	1322	1848
417	1325	1844
418	1327	1840
419	1330	1836
420	1332	1832
421	1336	1830
422	1339	1826
423	1341	1822
424	1344	1818
425	1346	1814
426	1349	1811
427	1352	1807
428	1355	1803
429	1357	1799
430	1360	1795
431	1363	1792
432	1365	1788
433	1368	1785
434	1371	1781
435	1373	1777
436	1376	1773
437	1379	1769
438	1381	1765
439	1384	1762
440	1387	1758
441	1389	1754
442	1392	1750
443	1395	1747
444	1398	1743
445	1401	1740
446	1403	1736
447	1406	1732
448	1408	1728
449	1410	1724
450	1413	1720
451	1416	1717
452	1419	1713
453	1421	1709
454	1424	1706
455	1427	1702
456	1429	1699
457	1433	1695
458	1435	1692
459	1438	1688
460	1440	1684
461	1443	1680
462	1445	1676
463	1448	1673
464	1451	1669
465	1454	1666
466	1456	1662
467	1459	1658
468	1462	1655
469	1465	1652
470	1467	1648
471	1470	1645
472	1473	1641
473	1475	1637
474	1478	1634
475	1481	1631
476	1484	1627
477	1487	1623
478	1489	1620
479	1492	1616
480	1495	1613
481	1497	1609
482	1500	1605
483	1502	1602
484	1505	1598
485	1507	1594
486	1510	1591
487	1513	1587
488	1516	1584
489	1518	1580
490	1521	1576
491	1523	1573
492	1526	1570
493	1529	1566
494	1532	1563
495	1534	1559
496	1537	1555
497	1539	1552
498	1542	1549
499	1545	1545
500	1548	1542
501	1550	1538
502	1553	1534
503	1556	1531
504	1559	1528
505	1562	1525
506	1564	1521
507	1567	1517
508	1569	1514
509	1572	1510
510	1575	1508
511	1578	1504
512	1581	1501
513	1583	1497
514	1586	1493
515	1589	1490
516	1592	1487
517	1594	1483
518	1597	1480
519	1600	1477
520	1603	1473
521	1605	1470
522	1609	1468
523	1613	1465
524	1616	1462
525	1619	1459
526	1623	1456
527	1625	1453
528	1628	1449
529	1630	1446
530	1633	1442
531	1637	1440
532	1639	1436
533	1643	1434
534	1645	1430
535	1648	1427
536	1650	1423
537	1653	1420
538	1656	1416
539	1659	1413
540	1661	1410
541	1664	1406
542	1667	1403
543	1670	1399
544	1672	1396
545	1675	1393
546	1678	1389
547	1680	1386
548	1683	1382
549	1686	1379
550	1688	1376
551	1691	1372
552	1693	1369
553	1696	1365
554	1698	1362
555	1702	1359
556	1704	1355
557	1707	1352
558	1710	1349
559	1712	1345
560	1715	1342
561	1717	1338
562	1720	1335
563	1723	1332
564	1725	1328
565	1728	1325
566	1730	1321
567	1733	1318
568	1737	1315
569	1739	1312
570	1742	1309
571	1745	1305
572	1747	1302
573	1751	1299
574	1754	1296
575	1757	1293
576	1759	1290
577	1762	1286
578	1765	1283
579	1768	1280
580	1772	1278
581	1775	1274
582	1777	1271
583	1780	1267
584	1782	1264
585	1785	1261
586	1788	1258
587	1791	1254
588	1793	1251
589	1796	1248
590	1799	1245
591	1801	1241
592	1804	1238
593	1806	1234
594	1809	1231
595	1811	1228
596	1814	1225
597	1817	1221
598	1819	1218
599	1822	1214
600	1825	1211
601	1827	1208
602	1830	1205
603	1833	1201
604	1835	1198
605	1838	1195
606	1840	1191
607	1843	1188
608	1846	1185
609	1849	1182
610	1851	1179
611	1854	1175
612	1857	1172
613	1859	1169
614	1862	1165
615	1865	1162
616	1867	1159
617	1870	1156
618	1872	1152
619	1875	1149
620	1878	1146
621	1881	1143
622	1883	1139
623	1886	1136
624	1888	1133
625	1891	1130
626	1894	1126
627	1897	1123
628	1899	1120
629	1902	1117
630	1905	1114
631	1908	1111
632	1911	1107
633	1913	1104
634	1916	1101
635	1919	1098
636	1921	1095
637	1924	1092
638	1927	1088
639	1929	1085
640	1932	1082
641	1935	1079
642	1937	1075
643	1940	1072
644	1943	1069
645	1945	1066
646	1948	1063
647	1950	1059
648	1953	1056
649	1956	1053
650	1959	1050
651	1961	1047
652	1964	1043
653	1967	1040
654	1969	1037
655	1972	1034
656	1975	1031
657	1977	1028
658	1980	1024
659	1982	1021
660	1985	1018
661	1988	1015
662	1991	1012
663	1994	1009
664	1998	1006
665	2001	1003
666	2005	1001
667	2008	998
668	2011	995
669	2013	991
670	2016	988
671	2019	985
672	2022	982
673	2024	979
674	2027	976
675	2029	972
676	2032	969
677	2035	966
678	2038	963
679	2041	960
680	2043	957
681	2046	954
682	2049	951
683	2052	948
684	2054	944
685	2057	941
686	2059	938
687	2062	935
688	2064	932
689	2067	928
690	2070	925
691	2072	922
692	2075	919
693	2078	916
694	2080	913
695	2083	909
696	2085	906
697	2088	903
698	2091	900
699	2093	897
700	2096	894
701	2098	890
702	2101	887
703	2104	884
704	2106	881
705	2109	878
706	2111	875
707	2114	872
708	2117	869
709	2120	865
710	2122	862
711	2125	859
712	2128	856
713	2130	853
714	2133	850
715	2135	847
716	2138	844
717	2141	840
718	2143	837
719	2147	834
720	2150	832
721	2152	828
722	2155	825
723	2157	822
724	2160	819
725	2163	816
726	2165	813
727	2168	810
728	2170	806
729	2173	803
730	2176	800
731	2179	797
732	2181	794
733	2184	791
734	2186	788
735	2189	785
736	2192	782
737	2195	779
738	2197	776
739	2200	773
740	2203	770
741	2205	767
742	2208	763
743	2211	760
744	2213	757
745	2216	754
746	2218	751
747	2221	748
748	2224	745
749	2227	742
750	2230	739
751	2233	736
752	2235	733
753	2238	730
754	2241	727
755	2244	724
756	2246	721
757	2249	718
758	2252	715
759	2254	712
760	2258	709
761	2260	706
762	2263	703
763	2266	700
764	2268	696
765	2271	693
766	2274	690
767	2276	687
768	2279	684
769	2282	681
770	2284	678
771	2287	675
772	2290	672
773	2293	669
774	2295	666
775	2298	663
776	2300	660
777	2303	657
778	2305	654
779	2308	651
780	2311	648
781	2313	645
782	2316	641
783	2319	638
784	2321	635
785	2324	632
786	2326	629
787	2329	626
788	2331	623
789	2334	620
790	2337	617
791	2340	614
792	2342	611
793	2345	608
794	2348	605
795	2350	602
796	2353	599
797	2355	596
798	2358	593
799	2361	590
800	2364	587
801	2366	584
802	2369	581
803	2371	578
804	2374	575
805	2377	572
806	2380	569
807	2382	566
808	2385	563
809	2388	560
810	2390	557
811	2393	554
812	2396	551
813	2399	548
814	2403	545
815	2407	542
816	2410	539
817	2412	536
818	2415	533
819	2417	530
820	2420	527
821	2422	524
822	2425	521
823	2428	518
824	2431	515
825	2433	512
826	2436	509
827	2438	506
828	2441	503
829	2444	500
830	2447	497
831	2449	494
832	2452	491
833	2454	488
834	2457	485
835	2459	482
836	2462	479
837	2465	476
838	2467	473
839	2470	470
840	2473	467
841	2475	464
842	2478	461
843	2480	458
844	2483	455
845	2485	452
846	2488	449
847	2491	446
848	2493	443
849	2496	440
850	2498	437
851	2501	434
852	2504	431
853	2506	428
854	2509	425
855	2512	422
856	2514	419
857	2517	416
858	2519	413
859	2522	410
860	2524	407
861	2527	404
862	2530	401
863	2533	398
864	2535	395
865	2538	392
866	2541	389
867	2543	386
868	2546	383
869	2549	380
870	2551	377
871	2554	374
872	2557	372
873	2559	369
874	2562	366
875	2565	363
876	2567	360
877	2570	357
878	2573	354
879	2575	351
880	2578	348
881	2580	345
882	2583	342
883	2586	339
884	2588	336
885	2591	333
886	2594	330
887	2597	327
888	2599	324
889	2602	321
890	2605	318
891	2607	315
892	2610	312
893	2613	309
894	2615	306
895	2618	303
896	2620	300
897	2623	298
898	2626	295
899	2629	292
900	2631	289
901	2634	286
902	2637	283
903	2640	280
904	2643	277
905	2646	274
906	2649	271
907	2652	268
908	2654	265
909	2658	262
910	2661	259
911	2663	257
912	2666	254
913	2669	251
914	2671	248
915	2674	245
916	2677	242
917	2679	239
918	2682	236
919	2684	233
920	2687	230
921	2690	227
922	2692	224
923	2695	221
924	2697	218
925	2700	215
926	2703	212
927	2705	209
928	2707	206
929	2710	204
930	2713	201
931	2715	198
932	2718	195
933	2721	192
934	2724	189
935	2726	186
936	2729	183
937	2732	180
938	2734	177
939	2737	174
940	2740	171
941	2743	168
942	2745	165
943	2748	163
944	2750	160
945	2753	157
946	2756	154
947	2758	151
948	2761	148
949	2764	145
950	2766	142
951	2769	139
952	2772	136
953	2774	133
954	2777	130
955	2780	127
956	2783	125
957	2787	122
958	2790	119
959	2794	116
960	2797	113
961	2799	110
962	2802	107
963	2805	104
964	2807	101
965	2810	98
966	2812	95
967	2815	93
968	2818	90
969	2820	87
970	2823	84
971	2826	81
972	2828	78
973	2831	75
974	2834	72
975	2836	69
976	2839	66
977	2842	63
978	2845	61
979	2847	58
980	2850	55
981	2853	52
982	2855	49
983	2858	46
984	2861	43
985	2864	40
986	2866	37
987	2869	34
988	2872	31
989	2875	29
990	2878	26
991	2881	23
992	2884	20
993	2887	17
994	2889	14
995	2892	11
996	2895	8
997	2897	5
998	2900	2
999	2902	0
